vidName,stimSet,subName,description
TV-watchingTV1,Set1,Sub1,A man is watching tv while sitting on a green armchair. 
GroomingOneself-shaving1,Set1,Sub1,A man shaves his facial hair. 
CaringChildren-playingPlayground1,Set1,Sub1,A toddler slides down the slide at a park. 
IntClean-vacuuming1,Set1,Sub1,Someone is vacuuming carpet. 
FoodDrink-bakingCookies1,Set1,Sub1,Someone rolls cookie dough. Into a ball. 
RacquetSports-playingtennis1,Set1,Sub1,Two people are playing tennis. 
Garden-gardening1,Set1,Sub1,A man is pulling the weeds from his garden. 
Basketball-Basketball1,Set1,Sub1,Shooting a three-point basketball shot. 
CaringChildren-babyCrawling1,Set1,Sub1,A baby crawls towards a toy. 
Dancing-modernDance1,Set1,Sub1,A duet performs their dance. 
Crafts-painting1,Set1,Sub1,Painting a wall blue. 
Soccer-playingSoccer1,Set1,Sub1,A soccer player scores a penalty kick. 
Aerobics-aerobics1,Set1,Sub1,Two women are working out. 
GroomingOneself-applyingMakeup1,Set1,Sub1,A woman applies eyeshadow to her eyelids. 
KitchenClean-washingDishes1,Set1,Sub1,Someone is washing the pan. 
Dressing-tyingTie1,Set1,Sub1,Someone is trying their time. 
Garden-mowingLawn1,Set1,Sub1,A man is cutting his grass using a lawn mower. 
Weights-weights1,Set1,Sub1,A man is working out his arms using a dumbbell. 
Pets-brushingCat1,Set1,Sub1,Someone is coming their cats fur. 
Laundry-laundry1,Set1,Sub1,Someone is putting their laundry into the laundry machine. 
Write-writing1,Set1,Sub1,Someone is writing something down in a journal. 
Dressing-puttingOnShoes1,Set1,Sub1,A woman takes off her tall black leather boots. 
FoodDrink-sautee1,Set1,Sub1,Onions are being sweated in a pan. 
Games-playingbilliards1,Set1,Sub1,Someone begins a game of pool. 
Bike-bike1,Set1,Sub1,Cyclist are biking down the street in a race. 
EatDrink-eating1,Set1,Sub1,When a large hat is chewing on some food. 
Sleeping-sleep1,Set1,Sub1,A man is laying in his bed. 
GroomingOneself-brushHair1,Set1,Sub1,Combing hair. 
Pets-playingDog1,Set1,Sub1,A man is playing with his dog in a park. 
Golf-golf1,Set1,Sub1,A golfer hits the ball. 
Phone-calling1,Set1,Sub1,A man is having a conversation on his cellphone while on a sidewalk. 
Cardio-spinning1,Set1,Sub1,People are cycling to workout. 
Social-laughing1,Set1,Sub1,Man is laughing. 
Garden-wateringPlants1,Set1,Sub1,Nose woman is flowering herb plants. 
FoodDrink-rollingDough1,Set1,Sub1,Someone is rolling out their do using a wooden roller. 
Crafts-knitting1,Set1,Sub1,Someone. Is knitting using blue yarn. 
HealthSelfCare-swallowPills1,Set1,Sub1,A woman takes a pill using water. 
Wash-wash1,Set1,Sub1,Someone is washing their hands and their wrists. 
FoodDrink-chopping1,Set1,Sub1,Is dicing carrots. 
EatDrink-drinking1,Set1,Sub1,A woman in front of a british flag sips tea. 
Computer-computer1,Set1,Sub1,A man is using his desktop computer. 
Games-videoGames1,Set1,Sub1,Two men are playing video games. 
FoodDrink-stirring1,Set1,Sub1,A woman mixes butter and brown sugar in a bowl. 
FoodDrink-grilling1,Set1,Sub1,Someone is flipping the steaks on the grill by using a spatula and their hands. 
Travel-driving1,Set1,Sub1,Someone is driving a car through windy roads. 
Yoga-yoga1,Set1,Sub1,A woman does an arm stand into the splits on a yoga mat. 
GroomingOneself-brushingTeeth1,Set1,Sub1,A man is brushing his teeth. 
IntClean-moppingfloor1,Set1,Sub1,A man in a green shirt mops the floor. 
Dancing-ballroomDancing1,Set1,Sub1,Ballroom dancers approached their partners to begin their routine. 
Social-talk1,Set1,Sub1,A woman in a blue flowered shirt is explaining something for her vlog. 
Social-shakeHands1,Set1,Sub1,Two men shake hands over the punch bowl at a party. 
HealthSelfCare-bandaid1,Set1,Sub1,Someone applies a band-aid to his thumb nail. 
Dressing-buttoningShirt1,Set1,Sub1,Amion buttons his plaid button-up. 
Walk-walk1,Set1,Sub1,People are walking along a heavy intersection. 
Pets-walkingdog1,Set1,Sub1,A man is walking his dog on a snowy.  bro. 
Groceries-groceryShopping1,Set1,Sub1,People are shopping for things at the grocery store. 
FoodDrink-Pour1,Set1,Sub1,A man pours wine into a wine glass. 
IntClean-dustingTable1,Set1,Sub1,Cleaning a coffee table with a washcloth. 
Reading-reading1,Set1,Sub1,A man is reading a book in front of a window that shows a parking lot. 
Run-running1,Set1,Sub1,A man is running down the street. 
Computer-computer2,Set2,Sub2,A white man is typing on a keyboard at a desk. 
Laundry-laundry2,Set2,Sub2,It's pouring blue laundry detergent into a full washing machine of clothes. 
Social-laughing2,Set2,Sub2,Young white boy is laughing. 
Reading-reading2,Set2,Sub2,A. Young white man is reading a book in a library. 
FoodDrink-chopping2,Set2,Sub2,Someone is chopping some sort of green.  vegetable. 
Games-videoGames2,Set2,Sub2,Elderly white man is sitting on a couch playing video games. 
FoodDrink-bakingCookies2,Set2,Sub2,Someone is pressing dough into a shape. 
HealthSelfCare-bandaid2,Set2,Sub2,Someone is putting tape around their left index finger. 
GroomingOneself-brushingTeeth2,Set2,Sub2,Is brushing his teeth with a blue toothbrush while looking in the mirror. 
Sleep-sleep2,Set2,Sub2,A white girl is asleep on a brown couch. 
RacquetSports-playingTennis2,Set2,Sub2,Two young white men are playing an intense tennis match where one of them has to run a very close to the net suddenly. 
Soccer-playingSoccer2,Set2,Sub2,A white man tried to score a goal in a soccer game but the goalie jumped and deflected the ball from the goal. 
Travel-driving2,Set2,Sub2,The striving and seems to get excited. 
Weights-weights2,Set2,Sub2,A man is lifting very heavy weights in some sort of gym. 
Dressing-buttoningShirt2,Set2,Sub2,Is buttoning his black shirt from the top to the bottom. 
IntClean-moppingFloor2,Set2,Sub2,Mopping a floor. 
FoodDrink-Pour2,Set2,Sub2,Someone is pouring milk into a cup of tea. 
EatDrink-drinking2,Set2,Sub2,Was drinking something out of a blue cup. 
Dressing-tyingTie2,Set2,Sub2,Slowly doing a knot in a black polka dot tie. 
Pets-walkingDog2,Set2,Sub2,A young white man is walking his dog along a sidewalk. 
Cardio-spinning2,Set2,Sub2,People are cycling in a workout class. 
GroomingOneself-brushHair2,Set2,Sub2,Someone is sitting on a bed brushing their long black hair while wearing nice clothes. 
Groceries-groceryShopping2,Set2,Sub2,Young white girl is excitedly watching the checkout counter at a supermarket with a woman who is likely her mom. 
Dancing-modernDance2,Set2,Sub2,A man and woman are doing a very intense dance on a stage. 
FoodDrink-sautee2,Set2,Sub2,Samoa. Nunes in a pan. 
TV-watchingTV2,Set2,Sub2,One is sitting in the living room watching a dramatic tv show. 
FoodDrink-rollingDough2,Set2,Sub2,One is rolling dough on a wooden surface with a wooden rolling pin. 
Garden-gardening2,Set2,Sub2,A man is planting something in a.  big area of dirt. 
Basketball-basketball2,Set2,Sub2,A man is shooting into a basketball hoop while his friends watch. 
Crafts-knitting2,Set2,Sub2,What is knitting pink yarn. 
IntClean-dustingTable2,Set2,Sub2,Swiping up a wooden table. 
Walk-walk2,Set2,Sub2,Two white men in nice clothes are walking in a dark street. 
Dancing-ballroomDancing2,Set2,Sub2,Two people are dancing on a stage very closely. 
Dressing-puttingOnShoes2,Set2,Sub2,A white. Hang on the stairs putting on her black shoes. 
Yoga-yoga2,Set2,Sub2,Is doing some sort of acrobatic almost headstand on a green yoga mat in an otherwise empty room. 
IntClean-vacuuming2,Set2,Sub2,Someone is using a dyson vacuum cleaner to clean a floor covered in what looks to be shredded paper. 
EatDrink-eating2,Set2,Sub2,Is chewing something in his mouth. 
Aerobics-aerobics2,Set2,Sub2,Group of white women are leading some sort of group fitness activity in sports bras and leggings. 
CaringChildren-babyCrawling2,Set2,Sub2,White baby is crawling on a wooden floor toward some toys. 
Garden-wateringPlants2,Set2,Sub2,Someone is watering a potted plants. 
Social-talk2,Set2,Sub2,A white man in what looks to be an office is describing something to the person recording. 
Games-playingBilliards2,Set2,Sub2,Someone is playing. Someone is trying to shoot pool balls into the middle hole. 
Social-shakeHands2,Set2,Sub2,A man at a door is offering his hand to shake hands with another man at the door. 
GroomingOneself-applyingMakeup2,Set2,Sub2,Is applying makeup. 
Wash-wash2,Set2,Sub2,Someone is lathering their hands with soap at a sink. 
Bike-bike2,Set2,Sub2,Elderly white man is biking on a road. 
CaringChildren-playingPlayground2,Set2,Sub2,A young white girl is going down a slope blue slide. 
KitchenClean-washingDishes2,Set2,Sub2,Someone is washing a bowl in a sink full of soapy water with a green and yellow sponge. 
Pets-brushingCat2,Set2,Sub2,Someone is grooming a cat. 
HealthSelfCare-swallowPills2,Set2,Sub2,Young white girl is swallowing a small circular pill using blue gatorade. 
Golf-golf2,Set2,Sub2,A man is hitting a golf ball. 
Write-writing2,Set2,Sub2,Someone is writing something with a mechanical pencil in a well-lit room. 
Phone-calling2,Set2,Sub2,A well-dressed young black man is speaking on the phone with someone. 
Run-running2,Set2,Sub2,When are competing in some sort of race along the roads. 
Crafts-painting2,Set2,Sub2,What is painting blue paint on a canvas. 
FoodDrink-stirring2,Set2,Sub2,Woman is whisking a bowl of what seems to be a chocolate mixture. 
Garden-mowingLawn2,Set2,Sub2,A white man is mowing a lawn in a backyard. 
GroomingOneself-shaving2,Set2,Sub2,A white man is shaving his cheeks that are covered in shaving cream. 
FoodDrink-grilling2,Set2,Sub2,A man is flipping a piece of what looks to be steak cooking on a grill. 
Pets-playingDog2,Set2,Sub2,Does playing with a dog in the yard. A man is playing with a dog in the yard. 
Computer-computer2,Set2,Sub3,I am watching a man type on his keyboard and then grab his mouse. 
Laundry-laundry2,Set2,Sub3,I am watching someone pick up detergent and pour it into a washer filled with clothes. 
Social-laughing2,Set2,Sub3,I see a young boy standing in some sort of wooden room with two windows he sees something and he starts laughing a lot. 
Reading-reading2,Set2,Sub3,I am watching someone read a book in the library. 
FoodDrink-chopping2,Set2,Sub3,I am watching someone die say vegetable into small pieces of a knife. 
Games-videoGames2,Set2,Sub3,I'm watching an old man play video games with an xbox 360 controller. 
FoodDrink-bakingCookies2,Set2,Sub3,I'm watching someone.  making cookie dough. 
HealthSelfCare-bandaid2,Set2,Sub3,I am watching someone put a band-aid on their finger. 
